,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,fast_trough_v_short_square,peak_v_short_square,height,ExIn,line_name
0,5.261166177,0.288858289,190.0,17.65307755,147.79,6.76635767,58.28128653,2.55227,-63.57497826,-52.9062538147,43.21875,96.1250038147,E,Scnn1a-Tg2-Cre
1,4.957589516,0.097033648,130.0,21.29083223,106.3575,9.402251839,189.3750053,2.475856667,-72.23741695,-54.0937519073,49.296877861,103.390629768,E,Rorb-IRES2-Cre
2,4.843871421,0.02674379,230.0,6.668956573,112.6075,8.88040317,106.2499999,12.00427167,-78.26015827,-64.9531294505,29.9322923024,94.8854217529,I,Htr3a-Cre_NO152
4,4.756383826,0.022991674,50.0,28.24598108,57.5034375,17.39026471,199.3750022,2.15084,-76.37581285,-51.4937530518,46.6437522888,98.1375053406,E,Scnn1a-Tg3-Cre
5,4.70933606,0.083333773,130.0,46.53329851,131.8828571,7.582486622,148.4375142,4.472106667,-72.23770905,-46.640625,45.4921884537,92.1328134537,E,Rbp4-Cre_KL100
6,4.697517125,0.027952035,90.0,22.96444268,73.97958333,13.51724293,167.0312517,3.240186667,-72.43114528,-53.8385442098,49.3541692098,103.19271342,E,Rorb-IRES2-Cre
7,4.586706002,0.261085381,110.0,19.08162774,199.75,5.006257822,156.8750398,3.235971667,-80.40333331,-56.718752861,45.945315361,102.664068222,E,Cux2-CreERT2
8,4.575732453,0.023914611,70.0,20.05003652,65.13269231,15.3532729,198.9062139,2.73731,-77.29038906,-57.0625038147,44.4765634537,101.539067268,E,Cux2-CreERT2
9,4.522856755,0.048308998,110.0,20.20449754,69.98791667,14.2881807,148.7499635,3.004828333,-83.56307293,-57.5437530518,48.3062515259,105.850004578,E,Nr5a1-Cre
10,4.513262974,0.077498251,110.0,27.55627101,168.123,5.948026148,118.7503815,3.145646667,-71.71958022,-50.8750038147,28.7708346049,79.6458384196,E,Rorb-IRES2-Cre
11,4.504294483,0.082536257,130.0,19.81374727,103.197,9.690204173,156.5625018,4.991095,-76.88080978,-51.1875007629,57.5187538147,108.706254578,E,Scnn1a-Tg3-Cre
12,4.48914108,0.069032093,160.0,15.44523464,95.628,10.45718827,90.15625263,5.716708333,-71.91176316,-51.411462148,45.4114615122,96.8229236602,E,Rbp4-Cre_KL100
16,4.405621943,0.008685331,59.99999619,24.94367576,56.35411765,17.74493226,192.4999952,3.621393333,-74.24310303,-53.7343769073,43.218752861,96.9531297683,E,Cux2-CreERT2
17,4.401047381,0.077184422,110.0,18.11394125,98.27777778,10.17524025,156.0937899,2.767226667,-78.35942735,-54.6875038147,51.0687522888,105.756256103,E,Rorb-IRES2-Cre
18,4.382053835,0.045540585,110.0,20.45652632,75.40833333,13.26113383,171.2500399,2.701573333,-78.41592058,-55.432293574,40.0104192098,95.4427127838,E,Cux2-CreERT2
19,4.353247375,0.001311376,170.0,10.28961693,86.00909091,11.62667794,111.5625393,6.041676667,-78.328741,-59.7734413147,25.5468764305,85.3203177452,I,Htr3a-Cre_NO152
